endpoint,model_name,fpr,tpr
extreme_os,tabpfn_v2_6,0.04,0.24175824175824176
extreme_os,tabpfn_v2_6,0.04,0.32967032967032966
extreme_os,tabpfn_v2_6,0.04,0.3516483516483517
extreme_os,tabpfn_v2_6,0.04,0.4725274725274725
extreme_os,tabpfn_v2_6,0.06,0.4725274725274725
extreme_os,tabpfn_v2_6,0.06,0.5054945054945055
extreme_os,tabpfn_v2_6,0.14,0.5054945054945055
extreme_os,tabpfn_v2_6,0.14,0.5164835164835165
extreme_os,tabpfn_v2_6,0.16,0.5164835164835165
extreme_os,tabpfn_v2_6,0.16,0.5604395604395604
extreme_os,tabpfn_v2_6,0.18,0.5604395604395604
extreme_os,tabpfn_v2_6,0.18,0.6373626373626373
extreme_os,tabpfn_v2_6,0.2,0.6373626373626373
extreme_os,tabpfn_v2_6,0.2,0.6593406593406593
extreme_os,tabpfn_v2_6,0.22,0.6593406593406593
extreme_os,tabpfn_v2_6,0.22,0.6813186813186813
extreme_os,tabpfn_v2_6,0.24,0.6813186813186813
extreme_os,tabpfn_v2_6,0.24,0.7582417582417582
extreme_os,tabpfn_v2_6,0.26,0.7582417582417582
extreme_os,tabpfn_v2_6,0.26,0.8021978021978022
extreme_os,tabpfn_v2_6,0.28,0.8021978021978022
extreme_os,tabpfn_v2_6,0.28,0.8351648351648352
extreme_os,tabpfn_v2_6,0.3,0.8351648351648352
extreme_os,tabpfn_v2_6,0.3,0.8461538461538461
extreme_os,tabpfn_v2_6,0.32,0.8571428571428571
extreme_os,tabpfn_v2_6,0.34,0.8571428571428571
extreme_os,tabpfn_v2_6,0.34,0.8681318681318682
extreme_os,tabpfn_v2_6,0.36,0.8681318681318682
extreme_os,tabpfn_v2_6,0.36,0.8791208791208791
extreme_os,tabpfn_v2_6,0.4,0.8791208791208791
extreme_os,tabpfn_v2_6,0.4,0.8901098901098901
extreme_os,tabpfn_v2_6,0.44,0.8901098901098901
extreme_os,tabpfn_v2_6,0.44,0.9010989010989011
extreme_os,tabpfn_v2_6,0.48,0.9010989010989011
extreme_os,tabpfn_v2_6,0.56,0.9010989010989011
extreme_os,tabpfn_v2_6,0.56,0.9120879120879121
extreme_os,tabpfn_v2_6,0.62,0.9120879120879121
extreme_os,tabpfn_v2_6,0.62,0.9340659340659341
extreme_os,tabpfn_v2_6,0.64,0.9340659340659341
extreme_os,tabpfn_v2_6,0.66,0.945054945054945
extreme_os,tabpfn_v2_6,0.7,0.945054945054945
extreme_os,tabpfn_v2_6,0.7,0.967032967032967
extreme_os,tabpfn_v2_6,0.9,0.967032967032967
