endpoint,model_name,recall,precision
extreme_os,tabpfn_v2,0.8791208791208791,0.8
extreme_os,tabpfn_v2,0.8681318681318682,0.797979797979798
extreme_os,tabpfn_v2,0.8681318681318682,0.8061224489795918
extreme_os,tabpfn_v2,0.8681318681318682,0.8144329896907216
extreme_os,tabpfn_v2,0.8681318681318682,0.8229166666666666
extreme_os,tabpfn_v2,0.8571428571428571,0.8210526315789474
extreme_os,tabpfn_v2,0.8461538461538461,0.8191489361702128
extreme_os,tabpfn_v2,0.8351648351648352,0.8172043010752689
extreme_os,tabpfn_v2,0.8241758241758241,0.8152173913043478
extreme_os,tabpfn_v2,0.8131868131868132,0.8131868131868132
extreme_os,tabpfn_v2,0.8021978021978022,0.8111111111111111
extreme_os,tabpfn_v2,0.7912087912087912,0.8089887640449438
extreme_os,tabpfn_v2,0.7912087912087912,0.8181818181818182
extreme_os,tabpfn_v2,0.7802197802197802,0.8160919540229885
extreme_os,tabpfn_v2,0.7692307692307693,0.813953488372093
extreme_os,tabpfn_v2,0.7692307692307693,0.8235294117647058
extreme_os,tabpfn_v2,0.7692307692307693,0.8333333333333334
extreme_os,tabpfn_v2,0.7582417582417582,0.8313253012048193
extreme_os,tabpfn_v2,0.7472527472527473,0.8292682926829268
extreme_os,tabpfn_v2,0.7362637362637363,0.8271604938271605
extreme_os,tabpfn_v2,0.7362637362637363,0.8375
extreme_os,tabpfn_v2,0.7252747252747253,0.8354430379746836
extreme_os,tabpfn_v2,0.7252747252747253,0.8461538461538461
extreme_os,tabpfn_v2,0.7142857142857143,0.8441558441558441
extreme_os,tabpfn_v2,0.7032967032967034,0.8421052631578947
extreme_os,tabpfn_v2,0.6923076923076923,0.84
extreme_os,tabpfn_v2,0.6813186813186813,0.8378378378378378
extreme_os,tabpfn_v2,0.6703296703296703,0.8356164383561644
extreme_os,tabpfn_v2,0.6593406593406593,0.8333333333333334
extreme_os,tabpfn_v2,0.6483516483516484,0.8309859154929577
extreme_os,tabpfn_v2,0.6373626373626373,0.8285714285714286
extreme_os,tabpfn_v2,0.6373626373626373,0.8405797101449275
extreme_os,tabpfn_v2,0.6263736263736264,0.8382352941176471
extreme_os,tabpfn_v2,0.6153846153846154,0.835820895522388
extreme_os,tabpfn_v2,0.6153846153846154,0.8484848484848485
extreme_os,tabpfn_v2,0.6153846153846154,0.8615384615384616
extreme_os,tabpfn_v2,0.6043956043956044,0.859375
extreme_os,tabpfn_v2,0.5934065934065934,0.8571428571428571
extreme_os,tabpfn_v2,0.5824175824175825,0.8548387096774194
extreme_os,tabpfn_v2,0.5714285714285714,0.8524590163934426
extreme_os,tabpfn_v2,0.5714285714285714,0.8666666666666667
extreme_os,tabpfn_v2,0.5604395604395604,0.864406779661017
extreme_os,tabpfn_v2,0.5494505494505495,0.8620689655172413
extreme_os,tabpfn_v2,0.5384615384615384,0.8596491228070176
extreme_os,tabpfn_v2,0.5384615384615384,0.875
extreme_os,tabpfn_v2,0.5274725274725275,0.8727272727272727
extreme_os,tabpfn_v2,0.5274725274725275,0.8888888888888888
extreme_os,tabpfn_v2,0.5164835164835165,0.8867924528301887
extreme_os,tabpfn_v2,0.5054945054945055,0.8846153846153846
extreme_os,tabpfn_v2,0.5054945054945055,0.9019607843137255
extreme_os,tabpfn_v2,0.4945054945054945,0.9
extreme_os,tabpfn_v2,0.4835164835164835,0.8979591836734694
extreme_os,tabpfn_v2,0.4725274725274725,0.8958333333333334
extreme_os,tabpfn_v2,0.46153846153846156,0.8936170212765957
extreme_os,tabpfn_v2,0.45054945054945056,0.8913043478260869
extreme_os,tabpfn_v2,0.45054945054945056,0.9111111111111111
extreme_os,tabpfn_v2,0.43956043956043955,0.9090909090909091
extreme_os,tabpfn_v2,0.42857142857142855,0.9069767441860465
extreme_os,tabpfn_v2,0.4175824175824176,0.9047619047619048
extreme_os,tabpfn_v2,0.4065934065934066,0.9024390243902439
extreme_os,tabpfn_v2,0.3956043956043956,0.9
extreme_os,tabpfn_v2,0.3956043956043956,0.9230769230769231
extreme_os,tabpfn_v2,0.38461538461538464,0.9210526315789473
extreme_os,tabpfn_v2,0.37362637362637363,0.918918918918919
extreme_os,tabpfn_v2,0.3626373626373626,0.9166666666666666
extreme_os,tabpfn_v2,0.3516483516483517,0.9142857142857143
extreme_os,tabpfn_v2,0.34065934065934067,0.9117647058823529
extreme_os,tabpfn_v2,0.34065934065934067,0.9393939393939394
extreme_os,tabpfn_v2,0.32967032967032966,0.9375
extreme_os,tabpfn_v2,0.31868131868131866,0.9354838709677419
extreme_os,tabpfn_v2,0.3076923076923077,0.9333333333333333
extreme_os,tabpfn_v2,0.3076923076923077,0.9655172413793104
extreme_os,tabpfn_v2,0.2857142857142857,0.9629629629629629
extreme_os,tabpfn_v2,0.27472527472527475,0.9615384615384616
extreme_os,tabpfn_v2,0.26373626373626374,0.96
extreme_os,tabpfn_v2,0.25274725274725274,0.9583333333333334
extreme_os,tabpfn_v2,0.24175824175824176,0.9565217391304348
extreme_os,tabpfn_v2,0.23076923076923078,0.9545454545454546
extreme_os,tabpfn_v2,0.23076923076923078,1.0
extreme_os,tabpfn_v2,0.21978021978021978,1.0
extreme_os,tabpfn_v2,0.2087912087912088,1.0
extreme_os,tabpfn_v2,0.1978021978021978,1.0
extreme_os,tabpfn_v2,0.18681318681318682,1.0
extreme_os,tabpfn_v2,0.17582417582417584,1.0
extreme_os,tabpfn_v2,0.16483516483516483,1.0
extreme_os,tabpfn_v2,0.15384615384615385,1.0
extreme_os,tabpfn_v2,0.14285714285714285,1.0
extreme_os,tabpfn_v2,0.12087912087912088,1.0
extreme_os,tabpfn_v2,0.10989010989010989,1.0
extreme_os,tabpfn_v2,0.0989010989010989,1.0
extreme_os,tabpfn_v2,0.08791208791208792,1.0
extreme_os,tabpfn_v2,0.07692307692307693,1.0
extreme_os,tabpfn_v2,0.06593406593406594,1.0
extreme_os,tabpfn_v2,0.03296703296703297,1.0
extreme_os,tabpfn_v2,0.02197802197802198,1.0
extreme_os,tabpfn_v2,0.01098901098901099,1.0
extreme_os,tabpfn_v2,0.0,1.0
extreme_os,tabpfn_v2_5,1.0,0.6453900709219859
extreme_os,tabpfn_v2_5,1.0,0.65
extreme_os,tabpfn_v2_5,1.0,0.6546762589928058
extreme_os,tabpfn_v2_5,1.0,0.6594202898550725
extreme_os,tabpfn_v2_5,1.0,0.6642335766423357
extreme_os,tabpfn_v2_5,1.0,0.6691176470588235
extreme_os,tabpfn_v2_5,1.0,0.674074074074074
extreme_os,tabpfn_v2_5,1.0,0.6791044776119403
extreme_os,tabpfn_v2_5,1.0,0.6842105263157895
extreme_os,tabpfn_v2_5,1.0,0.6893939393939394
extreme_os,tabpfn_v2_5,0.989010989010989,0.6870229007633588
extreme_os,tabpfn_v2_5,0.989010989010989,0.6923076923076923
extreme_os,tabpfn_v2_5,0.989010989010989,0.6976744186046512
extreme_os,tabpfn_v2_5,0.989010989010989,0.7086614173228346
extreme_os,tabpfn_v2_5,0.989010989010989,0.7142857142857143
extreme_os,tabpfn_v2_5,0.978021978021978,0.712
extreme_os,tabpfn_v2_5,0.978021978021978,0.717741935483871
extreme_os,tabpfn_v2_5,0.978021978021978,0.7235772357723578
extreme_os,tabpfn_v2_5,0.967032967032967,0.7213114754098361
extreme_os,tabpfn_v2_5,0.9560439560439561,0.71900826446281
extreme_os,tabpfn_v2_5,0.945054945054945,0.7166666666666667
extreme_os,tabpfn_v2_5,0.945054945054945,0.7226890756302521
extreme_os,tabpfn_v2_5,0.945054945054945,0.7288135593220338
extreme_os,tabpfn_v2_5,0.945054945054945,0.7350427350427351
extreme_os,tabpfn_v2_5,0.9340659340659341,0.7327586206896551
