dataset,model_name,version,task_type,status,accuracy,f1,roc_auc,log_loss
LSCC_core_source_top100,tabpfn_v3,v3,binary,success,1.0,1.0,1.0,1.719754422779665e-05
LUAD_core_os_event_top100,tabpfn_v1,v1,binary,success,0.6666666666666666,0.0,0.6409989594172736,0.6350333413864628
LUAD_core_os_event_top100,tabpfn_v2,v2,binary,success,0.5913978494623656,0.17391304347826086,0.581165452653486,0.6493823850681475
LUAD_core_os_event_top100,tabpfn_v2_5,v2_5,binary,success,0.5698924731182796,0.09090909090909091,0.5744016649323621,0.6620670953502142
LUAD_core_os_event_top100,tabpfn_v2_6,v2_6,binary,success,0.6666666666666666,0.0,0.5647762747138397,0.6338844915564732
LUAD_core_os_event_top100,tabpfn_v3,v3,binary,success,0.6666666666666666,0.0,0.5853277835587929,0.6321349894661419
LUAD_core_source_top100,tabpfn_v1,v1,binary,success,1.0,1.0,1.0,0.008447174249581758
LUAD_core_source_top100,tabpfn_v2,v2,binary,success,1.0,1.0,1.0,0.12662860530793466
LUAD_core_source_top100,tabpfn_v2_5,v2_5,binary,success,1.0,1.0,1.0,0.010425341291922843
LUAD_core_source_top100,tabpfn_v2_6,v2_6,binary,success,1.0,1.0,1.0,0.017024403840643194
LUAD_core_source_top100,tabpfn_v3,v3,binary,success,1.0,1.0,1.0,0.0040713057109936016
