task,model,task_type,status,fit_time_s,predict_time_s,tcga_accuracy,tcga_f1,tcga_roc_auc,tcga_log_loss,cptac_accuracy,cptac_f1,cptac_roc_auc,cptac_log_loss
brca_tp53_protein_top500,tabpfn_v3,binary,success,3.224663523003983,35.3156622710012,0.8480635551142006,0.766412213740458,0.9080328955400903,0.3639577112439032,0.5655737704918032,0.0,0.9108558928083128,0.7051928784634502
brca_tp53_top500,logistic_regression,binary,success,0.2841296609985875,0.05220739200740354,0.8013902681231381,0.7084548104956269,0.8549046796783701,1.2190830336181486,0.6198347107438017,0.23333333333333334,0.8887347391786903,0.8756110214852447
brca_tp53_top500,random_forest,binary,success,4.13219843099796,0.1187495099948137,0.8331678252234359,0.7281553398058253,0.8861584951075298,0.40170358453894833,0.6198347107438017,0.23333333333333334,0.8992785793562709,0.6909739278794716
brca_tp53_top500,xgboost,binary,success,4.596442621004826,0.24601585599884856,0.8401191658391262,0.7511591962905718,0.8839063017808243,0.5575728239734373,0.7603305785123967,0.6741573033707865,0.9026082130965594,0.5476174237357292
brca_tp53_top500,lightgbm,binary,success,2.604807574000006,0.0363381049974123,0.8331678252234359,0.7446808510638298,0.8901636056023582,0.5852877701723772,0.768595041322314,0.6956521739130435,0.9051054384017758,0.5123324133253171
brca_tp53_top500,catboost,binary,success,14.43251626399433,0.16681529200286604,0.8371400198609732,0.740506329113924,0.8935865906197129,0.389629396455229,0.6859504132231405,0.4722222222222222,0.9039955604883462,0.566963188071061
brca_tp53_top500,autogluon,binary,success,52.73159332600335,0.2722185860002355,0.817279046673287,0.6993464052287581,0.871060296862191,0.42160084517960256,0.6446280991735537,0.3582089552238806,0.9048279689234184,0.5845849624044367
brca_tp53_top500,tabpfn_v3,binary,success,3.1980037390021607,35.34734711999772,0.8391261171797418,0.7515337423312883,0.9024035023459438,0.3724031512219453,0.6694214876033058,0.42857142857142855,0.9084350721420644,0.5315816188113083
hnscc_tp53_biological,logistic_regression,binary,success,0.3923786880004627,0.02735911800118629,0.8097165991902834,0.8664772727272727,0.8552736875800256,0.532051099279262,0.8260869565217391,0.9047619047619048,0.4416666666666667,0.5184090990407243
hnscc_tp53_biological,random_forest,binary,success,1.402775954997196,0.09296211200125981,0.8238866396761133,0.8862745098039215,0.8278449103713188,0.4470858834956446,0.8695652173913043,0.9302325581395349,0.35624999999999996,0.443829176098383
hnscc_tp53_biological,xgboost,binary,success,1.129758414997923,0.09289293200345128,0.8299595141700404,0.8861788617886179,0.8373279449423816,0.5258043959214107,0.8695652173913043,0.9302325581395349,0.30833333333333335,0.6814080823054782
hnscc_tp53_biological,lightgbm,binary,success,0.27641693200348527,0.02617611000096076,0.8238866396761133,0.8822733423545331,0.8257842509603073,0.5644683099622831,0.8695652173913043,0.9302325581395349,0.2875,0.641166822101937
hnscc_tp53_biological,catboost,binary,success,4.965107963002083,0.06346640300398576,0.8218623481781376,0.884514435695538,0.8233434699103713,0.43334777303286165,0.8695652173913043,0.9302325581395349,0.4666666666666667,0.40219208556332214
hnscc_tp53_biological,autogluon,binary,success,44.18506571200123,0.1825470950025192,0.8360323886639676,0.889795918367347,0.8231033930857875,0.5832306757446489,0.8695652173913043,0.9302325581395349,0.4875,0.44412059871559684
hnscc_tp53_biological,tabpfn_v3,binary,success,2.2649631630010845,15.626689084998361,0.8461538461538461,0.896457765667575,0.8723191421254801,0.37002629616271965,0.8695652173913043,0.9302325581395349,0.45,0.4360684576689837
hnscc_tp53_protein_biological,logistic_regression,binary,success,0.31834789799540886,0.02181741599633824,0.819838056680162,0.8730385164051355,0.8394886363636364,0.5528838246792767,0.8225806451612904,0.9026548672566371,0.3171296296296296,0.529852197239763
hnscc_tp53_protein_biological,random_forest,binary,success,1.199710505999974,0.081911888999457,0.8279352226720648,0.8897535667963683,0.8201924615877082,0.45646036044098826,0.8709677419354839,0.9310344827586207,0.3657407407407407,0.4597441449194402
hnscc_tp53_protein_biological,xgboost,binary,success,0.9049726550001651,0.07602111899541342,0.8157894736842105,0.8781793842034806,0.8170514564660692,0.5493650741955126,0.8709677419354839,0.9310344827586207,0.3773148148148148,0.5928928640891504
hnscc_tp53_protein_biological,lightgbm,binary,success,0.21970629099814687,0.02247299700320582,0.8036437246963563,0.8704939919893191,0.8087988156209988,0.5921095308717587,0.8709677419354839,0.9310344827586207,0.35648148148148145,0.600607831928794
hnscc_tp53_protein_biological,catboost,binary,success,3.927162676995067,0.05199401400022907,0.8259109311740891,0.8883116883116883,0.8319262163892445,0.4248522540572314,0.8709677419354839,0.9310344827586207,0.1597222222222222,0.4094091226337364
hnscc_tp53_protein_biological,autogluon,binary,success,44.69791427500604,0.18052165899644024,0.8218623481781376,0.8814016172506739,0.8118097791293214,0.7010350073821747,0.8709677419354839,0.9310344827586207,0.28703703703703703,0.504757477190501
hnscc_tp53_protein_biological,tabpfn_v3,binary,success,2.260841679995792,14.244888465003896,0.8380566801619433,0.8924731182795699,0.8489116517285532,0.3943108496450799,0.8709677419354839,0.9310344827586207,0.30092592592592593,0.40399689919165804
