endpoint,fold,modality,count
os_5yr,repeat_02_fold_01,rnaseq_gene,74
os_5yr,repeat_02_fold_01,methylation_gene,26
os_5yr,repeat_04_fold_01,rnaseq_gene,72
os_5yr,repeat_04_fold_01,methylation_gene,28
os_5yr,repeat_00_fold_04,rnaseq_gene,70
os_5yr,repeat_00_fold_04,methylation_gene,29
os_5yr,repeat_00_fold_04,cnv_log2,1
os_5yr,repeat_01_fold_02,rnaseq_gene,67
os_5yr,repeat_01_fold_02,methylation_gene,33
os_5yr,repeat_03_fold_01,rnaseq_gene,70
os_5yr,repeat_03_fold_01,methylation_gene,26
os_5yr,repeat_03_fold_01,cnv_log2,4
os_3yr,repeat_04_fold_04,methylation_gene,73
os_3yr,repeat_04_fold_04,rnaseq_gene,27
os_3yr,repeat_01_fold_04,methylation_gene,80
os_3yr,repeat_01_fold_04,rnaseq_gene,20
os_3yr,repeat_01_fold_00,methylation_gene,91
os_3yr,repeat_01_fold_00,rnaseq_gene,9
os_3yr,repeat_00_fold_03,methylation_gene,74
os_3yr,repeat_00_fold_03,rnaseq_gene,26
os_3yr,repeat_04_fold_03,methylation_gene,86
os_3yr,repeat_04_fold_03,rnaseq_gene,14
os_3yr,repeat_02_fold_02,methylation_gene,82
os_3yr,repeat_02_fold_02,rnaseq_gene,18
os_3yr,repeat_02_fold_03,methylation_gene,81
os_3yr,repeat_02_fold_03,rnaseq_gene,19
os_3yr,repeat_03_fold_04,methylation_gene,70
os_3yr,repeat_03_fold_04,rnaseq_gene,21
os_3yr,repeat_03_fold_04,cnv_log2,9
os_3yr,repeat_01_fold_01,methylation_gene,72
os_3yr,repeat_01_fold_01,rnaseq_gene,26
os_3yr,repeat_01_fold_01,cnv_log2,2
os_3yr,repeat_01_fold_03,methylation_gene,70
os_3yr,repeat_01_fold_03,rnaseq_gene,28
os_3yr,repeat_01_fold_03,cnv_log2,2
os_3yr,repeat_02_fold_04,methylation_gene,83
os_3yr,repeat_02_fold_04,rnaseq_gene,16
os_3yr,repeat_02_fold_04,cnv_log2,1
os_3yr,repeat_00_fold_02,methylation_gene,81
os_3yr,repeat_00_fold_02,rnaseq_gene,19
os_3yr,repeat_03_fold_00,methylation_gene,94
os_3yr,repeat_03_fold_00,rnaseq_gene,6
os_3yr,repeat_04_fold_02,methylation_gene,80
os_3yr,repeat_04_fold_02,rnaseq_gene,19
os_3yr,repeat_04_fold_02,cnv_log2,1
os_3yr,repeat_00_fold_01,methylation_gene,83
os_3yr,repeat_00_fold_01,rnaseq_gene,16
os_3yr,repeat_00_fold_01,cnv_log2,1
os_3yr,repeat_03_fold_03,methylation_gene,81
os_3yr,repeat_03_fold_03,rnaseq_gene,19
os_3yr,repeat_02_fold_00,methylation_gene,90
os_3yr,repeat_02_fold_00,rnaseq_gene,10
os_3yr,repeat_00_fold_00,methylation_gene,89
os_3yr,repeat_00_fold_00,rnaseq_gene,11
os_3yr,repeat_03_fold_02,methylation_gene,88
os_3yr,repeat_03_fold_02,rnaseq_gene,11
os_3yr,repeat_03_fold_02,cnv_log2,1
os_3yr,repeat_04_fold_00,methylation_gene,81
os_3yr,repeat_04_fold_00,rnaseq_gene,15
os_3yr,repeat_04_fold_00,cnv_log2,4
os_3yr,repeat_02_fold_01,methylation_gene,82
os_3yr,repeat_02_fold_01,rnaseq_gene,18
os_3yr,repeat_04_fold_01,methylation_gene,76
os_3yr,repeat_04_fold_01,rnaseq_gene,20
os_3yr,repeat_04_fold_01,cnv_log2,4
os_3yr,repeat_00_fold_04,methylation_gene,82
os_3yr,repeat_00_fold_04,rnaseq_gene,18
os_3yr,repeat_01_fold_02,methylation_gene,80
os_3yr,repeat_01_fold_02,rnaseq_gene,20
os_3yr,repeat_03_fold_01,methylation_gene,83
os_3yr,repeat_03_fold_01,rnaseq_gene,17
extreme_os,repeat_04_fold_04,rnaseq_gene,74
extreme_os,repeat_04_fold_04,methylation_gene,23
extreme_os,repeat_04_fold_04,cnv_log2,3
extreme_os,repeat_01_fold_04,rnaseq_gene,76
extreme_os,repeat_01_fold_04,methylation_gene,23
extreme_os,repeat_01_fold_04,cnv_log2,1
extreme_os,repeat_01_fold_00,rnaseq_gene,87
extreme_os,repeat_01_fold_00,methylation_gene,13
extreme_os,repeat_00_fold_03,rnaseq_gene,58
extreme_os,repeat_00_fold_03,methylation_gene,37
extreme_os,repeat_00_fold_03,cnv_log2,5
extreme_os,repeat_04_fold_03,rnaseq_gene,65
extreme_os,repeat_04_fold_03,methylation_gene,31
extreme_os,repeat_04_fold_03,cnv_log2,4
extreme_os,repeat_02_fold_02,rnaseq_gene,82
extreme_os,repeat_02_fold_02,methylation_gene,17
extreme_os,repeat_02_fold_02,cnv_log2,1
extreme_os,repeat_02_fold_03,rnaseq_gene,69
extreme_os,repeat_02_fold_03,methylation_gene,27
extreme_os,repeat_02_fold_03,cnv_log2,4
extreme_os,repeat_03_fold_04,rnaseq_gene,50
extreme_os,repeat_03_fold_04,methylation_gene,39
extreme_os,repeat_03_fold_04,cnv_log2,11
extreme_os,repeat_01_fold_01,rnaseq_gene,72
extreme_os,repeat_01_fold_01,methylation_gene,28
extreme_os,repeat_01_fold_03,rnaseq_gene,78
extreme_os,repeat_01_fold_03,methylation_gene,22
extreme_os,repeat_02_fold_04,rnaseq_gene,65
extreme_os,repeat_02_fold_04,methylation_gene,32
extreme_os,repeat_02_fold_04,cnv_log2,3
extreme_os,repeat_00_fold_02,rnaseq_gene,73
extreme_os,repeat_00_fold_02,methylation_gene,25
extreme_os,repeat_00_fold_02,cnv_log2,2
extreme_os,repeat_03_fold_00,rnaseq_gene,84
extreme_os,repeat_03_fold_00,methylation_gene,16
extreme_os,repeat_04_fold_02,rnaseq_gene,84
extreme_os,repeat_04_fold_02,methylation_gene,16
extreme_os,repeat_00_fold_01,rnaseq_gene,50
extreme_os,repeat_00_fold_01,methylation_gene,34
extreme_os,repeat_00_fold_01,cnv_log2,16
extreme_os,repeat_03_fold_03,rnaseq_gene,65
extreme_os,repeat_03_fold_03,methylation_gene,33
extreme_os,repeat_03_fold_03,cnv_log2,2
extreme_os,repeat_02_fold_00,rnaseq_gene,82
extreme_os,repeat_02_fold_00,methylation_gene,18
extreme_os,repeat_00_fold_00,rnaseq_gene,79
extreme_os,repeat_00_fold_00,methylation_gene,21
extreme_os,repeat_03_fold_02,rnaseq_gene,79
extreme_os,repeat_03_fold_02,methylation_gene,21
extreme_os,repeat_04_fold_00,rnaseq_gene,57
extreme_os,repeat_04_fold_00,methylation_gene,41
extreme_os,repeat_04_fold_00,cnv_log2,2
extreme_os,repeat_02_fold_01,rnaseq_gene,59
extreme_os,repeat_02_fold_01,methylation_gene,38
extreme_os,repeat_02_fold_01,cnv_log2,3
extreme_os,repeat_04_fold_01,rnaseq_gene,58
extreme_os,repeat_04_fold_01,methylation_gene,34
extreme_os,repeat_04_fold_01,cnv_log2,8
extreme_os,repeat_00_fold_04,rnaseq_gene,52
extreme_os,repeat_00_fold_04,methylation_gene,47
extreme_os,repeat_00_fold_04,cnv_log2,1
extreme_os,repeat_01_fold_02,rnaseq_gene,73
extreme_os,repeat_01_fold_02,methylation_gene,24
extreme_os,repeat_01_fold_02,cnv_log2,3
extreme_os,repeat_03_fold_01,rnaseq_gene,62
extreme_os,repeat_03_fold_01,methylation_gene,38
