experiment,dataset,endpoint,permutation,iteration,n_train,n_test,roc_auc,pr_auc
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,66,1151,247,0.4772143340094659,0.4184576992405926
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,66,1151,247,0.647870182555781,0.5368063104766345
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,67,1151,247,0.4820148749154835,0.420051348542776
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,67,1151,247,0.6527721433400946,0.5046237177633413
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,68,1151,247,0.452738336713996,0.3915820304706036
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,68,1151,247,0.6636916835699797,0.5209255442825869
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,69,1151,247,0.4756592292089248,0.4094183287590272
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,69,1151,247,0.6863083164300202,0.5509375480344452
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,70,1151,247,0.4799188640973631,0.4038949676537908
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,70,1151,247,0.6734279918864098,0.535348383883574
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,71,1151,247,0.5135226504394861,0.4485635850615519
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,71,1151,247,0.667816091954023,0.5379117849730526
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,72,1151,247,0.4207572684246112,0.359553407547554
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,72,1151,247,0.693103448275862,0.5504313694328264
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,73,1151,247,0.6258282623394185,0.4985129362489452
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,73,1151,247,0.6839080459770115,0.5460901392815576
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,74,1151,247,0.4659229208924949,0.4072347936151528
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,74,1151,247,0.6245436105476674,0.484604321682057
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,75,1151,247,0.5162271805273834,0.4602051072262275
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,75,1151,247,0.7105476673427993,0.560548669382857
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,76,1151,247,0.5033130493576742,0.4548469314031806
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,76,1151,247,0.6564908722109533,0.5345121242938453
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,77,1151,247,0.5032454361054767,0.4339472451648841
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,77,1151,247,0.6576741041244083,0.520262019885095
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,78,1151,247,0.5311020960108181,0.4852122790614083
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,78,1151,247,0.6621703853955375,0.527191236939474
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,79,1151,247,0.5209601081812035,0.4393331108234397
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,79,1151,247,0.69763353617309,0.5911024318279638
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,80,1151,247,0.4828262339418526,0.3977343302996398
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,80,1151,247,0.6764029749830966,0.5421006984438842
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,81,1151,247,0.447261663286004,0.3825335861109322
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,81,1151,247,0.6778566599053415,0.5355821658065008
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,82,1151,247,0.4574712643678161,0.3779799485644395
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,82,1151,247,0.6790398918187964,0.5454065662149314
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,83,1151,247,0.5471264367816092,0.4590945040621972
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,83,1151,247,0.6486477349560514,0.5064439057880362
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,84,1151,247,0.3893171061528059,0.355674348222092
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,84,1151,247,0.6459432048681542,0.5000371480193185
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,85,1151,247,0.5064908722109533,0.4167805948075953
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,85,1151,247,0.6542258282623394,0.526964175305262
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,86,1151,247,0.4811359026369168,0.4052190259379544
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,86,1151,247,0.6435767410412441,0.5071600485926098
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,87,1151,247,0.5716700473292766,0.4920993066462475
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,87,1151,247,0.6526707234617983,0.5122104748275329
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,88,1151,247,0.4871534820824882,0.4452449164196966
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,88,1151,247,0.675659229208925,0.5411570817543683
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,89,1151,247,0.4963488843813387,0.4405430677782853
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,89,1151,247,0.6962812711291413,0.5648509614014017
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,90,1151,247,0.4377958079783638,0.3908861459887216
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,90,1151,247,0.6767410412440837,0.5406473774415486
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,91,1151,247,0.454158215010142,0.3877882167787252
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,91,1151,247,0.6546653144016227,0.5218593282297741
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,92,1151,247,0.4469235970250169,0.3809396408463536
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,92,1151,247,0.667579445571332,0.5420450172138193
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,93,1151,247,0.5839756592292089,0.4744481472805156
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,93,1151,247,0.6885733603786341,0.5769970419468117
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,94,1151,247,0.5173766058147397,0.4254363651230498
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,94,1151,247,0.6098039215686274,0.463233189654956
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,95,1151,247,0.4924273157538878,0.4266298512169921
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,95,1151,247,0.6580121703853955,0.5222766416998004
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,96,1151,247,0.4277214334009466,0.393706545932302
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,96,1151,247,0.6786342123056119,0.5473548064403781
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,97,1151,247,0.628397565922921,0.539598587540113
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,97,1151,247,0.6825557809330629,0.5512824005788336
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,98,1151,247,0.4539553752535497,0.384337051794524
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,98,1151,247,0.675659229208925,0.5766341560980797
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,99,1151,247,0.5565922920892495,0.4554757439004196
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,99,1151,247,0.6570993914807303,0.5165514082466514
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,100,1151,247,0.4855983772819472,0.4379669315417497
