scope,endpoint,model_name,model,family,n_configurations,n_evaluated,accuracy_mean,balanced_accuracy_mean,f1_mean,sensitivity_mean,specificity_mean,roc_auc_mean,pr_auc_mean,log_loss_mean,brier_mean,accuracy_sd,balanced_accuracy_sd,f1_sd,sensitivity_sd,specificity_sd,roc_auc_sd,pr_auc_sd,log_loss_sd,brier_sd,fit_time_s_median,predict_time_s_median
pooled,extreme_os,xgboost,XGBoost,Boosted tree,25,25,0.747099783820685,0.7161328448830168,0.8052404650680982,0.8170777240036982,0.6151879657623354,0.7679974430846654,0.8285559580070125,0.6482040915864193,0.18894323730651444,0.03640189098656046,0.027292574983419436,0.040627340648175816,0.07868326965035329,0.07432818224818201,0.03150066551893331,0.039658560998152896,0.07041294259179576,0.01671030133673745,0.2750107680003566,0.0070129889973031
pooled,os_3yr,autogluon,AutoGluon,AutoML,25,25,0.6265045592705167,0.6482131674428462,0.6230527242023894,0.7630381595375235,0.5333881753481688,0.7018101210127534,0.591443185422618,0.6280928318133162,0.21805290517300652,0.02454175948394417,0.022857157819443787,0.04215499448835007,0.11567816882068221,0.09966307587412251,0.033502016079879994,0.04359440387501235,0.02712889565244319,0.010817548351343485,8.06759906499974,0.0303821600009541
pooled,os_3yr,catboost,CatBoost,Boosted tree,25,25,0.6345288753799392,0.6610880757722676,0.6435290406288777,0.8105390819372783,0.5116370696072569,0.712939471382666,0.6074956456595658,0.6078227595502323,0.21012249283519735,0.024383771110961676,0.020496656106313148,0.03445130890389073,0.09383280481872078,0.08490394520433829,0.03054025745988844,0.04456052408218211,0.02685475648296383,0.011230966648154253,3.926356019001105,0.0074796910012082
pooled,os_3yr,lightgbm,LightGBM,Boosted tree,25,25,0.6243161094224924,0.6507033156943527,0.6328011809890485,0.7925851085141477,0.5088215228745577,0.6980637476418091,0.5848746526576938,0.8295660113571679,0.2504274204902368,0.025671447739250102,0.02180885336319118,0.0303038579681185,0.07764132294392606,0.07210953055797092,0.026157142153299607,0.043276373951579405,0.06449771761926926,0.017117113179208707,0.3677325759999803,0.0095837179978843
pooled,os_3yr,logistic_regression,Logistic regression,Linear,25,25,0.5548936170212766,0.5267103221190708,0.3611932515547298,0.3474245256833391,0.7059961185548024,0.5359160489113018,0.458827549378219,0.7092909136204233,0.25246807403587684,0.04348452528964184,0.023221616596136623,0.12124487875172284,0.19549171877915586,0.1998199847916965,0.03413407402017111,0.0403172738511865,0.020614486497579382,0.009165430403948538,0.0156594079999194,0.0045450869984051
pooled,os_3yr,random_forest,Random forest,Tree ensemble,25,25,0.6370820668693009,0.6629006541877697,0.6439427277060439,0.8077734850311212,0.518027823344418,0.7159593466887146,0.6000306994173483,0.603116949950204,0.20832062487949227,0.027285173271520243,0.02435358737125089,0.04000776867409751,0.10309987653025271,0.08648128323006059,0.028363402493861746,0.03934059098748614,0.022804881185740433,0.008870571058440923,0.4421227060011006,0.0944038419984281
pooled,os_3yr,tabfm_default,TabFM,Foundation model,25,25,0.641823708206687,0.665906837193971,0.6465775888913937,0.8056951620244418,0.5261185123635004,0.7205063393466774,0.6210159623805366,0.5963695418055758,0.20561789018486254,0.027351119746400664,0.024232466743215664,0.0402149517278686,0.09876394449188293,0.08736132185761922,0.022641774001681412,0.033454467477704926,0.02318233603430972,0.008997978880015673,0.0180067309993319,15.316834518000178
pooled,os_3yr,tabpfn_v2,TabPFN v2,Foundation model,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pooled,os_3yr,tabpfn_v2_5,TabPFN v2.5,Foundation model,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pooled,os_3yr,tabpfn_v2_6,TabPFN v2.6,Foundation model,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pooled,os_3yr,tabpfn_v3,TabPFN v3,Foundation model,25,25,0.6357446808510638,0.6631983500917616,0.645807075643831,0.8135975027465194,0.5127991974370038,0.7140010647420999,0.613069528424656,0.5984361437458119,0.20656020816931012,0.02399227114357209,0.020431283486656977,0.031428494406859506,0.07982567945502506,0.06826968730890408,0.021721169493813485,0.033302799582065064,0.02235720037416966,0.008694767156889546,0.4935462329995062,22.868583872999807
pooled,os_3yr,xgboost,XGBoost,Boosted tree,25,25,0.6232218844984803,0.6501991180386409,0.6341373069648327,0.8025054574647428,0.49789277861253917,0.7007256972408206,0.587521095760961,0.6914122247431606,0.23094001340892603,0.023022853150695806,0.020592847267479945,0.037816138196418415,0.08672868577939738,0.07290321308715607,0.025169702502081198,0.04515269465773014,0.04132895749138962,0.014246485341415706,0.6613922989999992,0.007510279003327
pooled,os_5yr,autogluon,AutoGluon,AutoML,25,25,0.7277363266204467,0.7013205739107832,0.7862341745594229,0.8116556008455639,0.5909855469760027,0.7438238415600951,0.8078888211459617,0.5939108479678733,0.19916738585871252,0.026346028301738114,0.018865013548043468,0.029731450401285834,0.06452924247042727,0.056811842429402015,0.02186521371522899,0.02323578648446687,0.042400254788346844,0.016432746154139644,6.32753153700105,0.0122151920004398
pooled,os_5yr,catboost,CatBoost,Boosted tree,25,25,0.728949048090679,0.7038227247329297,0.7872099658414158,0.8124208254253067,0.5952246240405529,0.748541691990633,0.808704779121139,0.5654861175033744,0.18838927692705287,0.030532918336417105,0.02468152418885303,0.03124712405581387,0.06768771010925369,0.060712633441755315,0.02250308305755671,0.028392060445656914,0.02511289704564641,0.009695034652246772,2.168736559000536,0.0069325160002335
pooled,os_5yr,lightgbm,LightGBM,Boosted tree,25,25,0.6898932540992626,0.6710329925372212,0.749860403440543,0.7582923827767108,0.5837736022977316,0.7191816715071734,0.7717261143771696,0.8729115916798807,0.23070880986751277,0.035874535569743154,0.02428743182414102,0.0435563574982531,0.0953390159613847,0.08053085375091984,0.02620431540305623,0.02931027942727998,0.08389624849535753,0.014935847282189442,0.2252503110030375,0.0078730210007051
pooled,os_5yr,logistic_regression,Logistic regression,Linear,25,25,0.523632295220278,0.5460258876492827,0.5069296668390347,0.44406734882646176,0.6479844264721036,0.5418876330518702,0.6634857902905731,0.7418402178106196,0.2559165581210687,0.06836440017356145,0.04505714038627214,0.18459900267827345,0.19419196608786746,0.17416360141829637,0.041810900971613975,0.035553156466958,0.05041864317307317,0.011441289442190358,0.0160603240001364,0.0045050910011923
pooled,os_5yr,random_forest,Random forest,Tree ensemble,25,25,0.7251560837826933,0.6981299183087855,0.7841048276778618,0.8112207119877382,0.5850391246298328,0.7471242337658225,0.8077104802755093,0.5738612341667896,0.18894038120957168,0.03606347513809589,0.026637778068453858,0.03865638830376572,0.07598781820023581,0.05497849926970063,0.024928404455224172,0.023353453674223396,0.03921288138833548,0.010213189090530437,0.3778918540010636,0.0747362109977984
pooled,os_5yr,tabfm_default,TabFM,Foundation model,25,25,0.7364799530464766,0.7090262176642819,0.7938920271352805,0.8211819696494134,0.5968704656791504,0.7528415853952757,0.8126375753548939,0.5538498677457262,0.18487123738909705,0.02442742044423257,0.020717879327375767,0.026917221475165804,0.05137456466921864,0.055167020228141024,0.023441447577430767,0.024823590190195227,0.022639034641738096,0.009814652918307805,0.0167449330001545,11.467885426998691
pooled,os_5yr,tabpfn_v2,TabPFN v2,Foundation model,25,25,0.7315138843035838,0.7074897261323246,0.7882711179753856,0.8116515983006285,0.603327853964021,0.7505668762645772,0.8148437452797785,0.5558605156945423,0.18554394796591095,0.03488251976862164,0.026665677340025857,0.0382106203282136,0.07385068690885425,0.058328325236677935,0.024370099363146016,0.01882327567138283,0.02069628744378481,0.008989581346738024,1.0516046859993369,38.43473791100041
pooled,os_5yr,tabpfn_v2_5,TabPFN v2.5,Foundation model,25,25,0.7361380727045963,0.7078806495117359,0.7948820571743681,0.8270772623882567,0.5886840366352151,0.7530081418851347,0.8164541353127025,0.5548901125098298,0.18527380812435784,0.028317938731438258,0.026411431644982608,0.02801153208921225,0.05938952980755434,0.0663911874133082,0.024695297609533696,0.02186629280931798,0.02143087714183381,0.009225966952119696,0.258108717000141,20.87038856900108
pooled,os_5yr,tabpfn_v2_6,TabPFN v2.6,Foundation model,25,25,0.7346018121125417,0.7089007798679233,0.7920388303688519,0.8183545194789035,0.5994470402569431,0.7523603288318909,0.8132192903032807,0.5558832496266775,0.18492187809438865,0.03064092144092353,0.026743189687667934,0.030757845882254813,0.06271596998918988,0.061628063309282916,0.025852877316729948,0.025259137582202107,0.02459025849270551,0.009907697382602798,0.3872019499976886,25.74292908499956
pooled,os_5yr,tabpfn_v3,TabPFN v3,Foundation model,25,25,0.7368159641979385,0.7072673289414297,0.7965214934666411,0.8307848787767901,0.5837497791060693,0.7542922092489522,0.819537510813109,0.5536020946606288,0.18480097897292802,0.0225348404110549,0.02427882180580547,0.019910599627285534,0.04080724187627429,0.05594596692484097,0.024352088570329024,0.02387491054321388,0.02245364793658908,0.009807820105968177,0.4930597169986868,16.984013326999047
pooled,os_5yr,xgboost,XGBoost,Boosted tree,25,25,0.7059961116613477,0.6835357780102459,0.7650414234459632,0.7807038934803061,0.5863676625401856,0.7336567498641152,0.7893692230742586,0.679441804855176,0.21098137819312096,0.042263601358716416,0.03605982290757208,0.04800950027750259,0.09157556652610331,0.09305921088703208,0.025521645801746283,0.02843785351987378,0.052653614960355075,0.014233137360282531,0.3354412039989256,0.0071368459975929
