scope,endpoint,cancer,repeat,fold,model_name,n_train,n_validation,n_test,status,threshold,threshold_source,fit_time_s,predict_time_s,accuracy,balanced_accuracy,f1,sensitivity,specificity,roc_auc,pr_auc,log_loss,brier,prediction_path
per_cancer,os_3yr,BRCA,0,4,xgboost,320,81,100,success,0.084815114736557,validation split balanced accuracy,0.21931117200074368,0.006558712000696687,0.71,0.5846883468834688,0.32558139534883723,0.3888888888888889,0.7804878048780488,0.6598915989159893,0.3383557043019422,0.5888946293303908,0.15651029860496002,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_04/xgboost/test_predictions.csv
per_cancer,os_3yr,BRCA,0,4,lightgbm,320,81,100,success,0.0240388978522231,validation split balanced accuracy,0.09035404000314884,0.006673331001366023,0.73,0.5101626016260162,0.18181818181818182,0.16666666666666666,0.8536585365853658,0.6327913279132791,0.3350770163379868,1.0256616264189948,0.16546243577947436,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_00_fold_04/lightgbm/test_predictions.csv
per_cancer,os_3yr,BRCA,1,0,logistic_regression,320,80,101,success,0.1910467809834514,validation split balanced accuracy,0.01176462200237438,0.004859638997004367,0.6633663366336634,0.47495894909688013,0.15,0.21428571428571427,0.735632183908046,0.5369458128078818,0.2240263258964172,0.42939606489734466,0.12111759496845752,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_00/logistic_regression/test_predictions.csv
per_cancer,os_3yr,BRCA,1,0,random_forest,320,80,101,success,0.16333333333333333,validation split balanced accuracy,0.3496424869990733,0.07426333799958229,0.6039603960396039,0.44047619047619047,0.13043478260869565,0.21428571428571427,0.6666666666666666,0.43801313628899835,0.12634991973437876,0.5810965043058707,0.13218085610561084,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_00/random_forest/test_predictions.csv
per_cancer,os_3yr,BRCA,1,0,catboost,320,80,101,success,0.10979382406862077,validation split balanced accuracy,2.2492260740000347,0.0058314030029578134,0.7128712871287128,0.5336617405582923,0.21621621621621623,0.2857142857142857,0.7816091954022989,0.5184729064039408,0.16050495681239543,0.4377780606470473,0.12502624422148853,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_00/catboost/test_predictions.csv
per_cancer,os_3yr,BRCA,1,0,xgboost,320,80,101,success,0.052567820996046066,validation split balanced accuracy,0.21411324699874967,0.006501512998511316,0.6534653465346535,0.46921182266009853,0.14634146341463414,0.21428571428571427,0.7241379310344828,0.49096880131362897,0.15235319661932184,0.5856908887090203,0.1376607097570366,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_00/xgboost/test_predictions.csv
per_cancer,os_3yr,BRCA,1,0,lightgbm,320,80,101,success,3.387228499138859e-05,validation split balanced accuracy,0.09089525300078094,0.005870327997399727,0.16831683168316833,0.4872742200328407,0.23636363636363636,0.9285714285714286,0.04597701149425287,0.4425287356321839,0.1416516217323834,0.9454813537336068,0.137644924326614,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_00/lightgbm/test_predictions.csv
per_cancer,os_3yr,BRCA,1,1,logistic_regression,321,80,100,success,0.08714321345844303,validation split balanced accuracy,0.011675901998387417,0.004905756999505684,0.4,0.5372549019607843,0.2682926829268293,0.7333333333333333,0.3411764705882353,0.5905882352941177,0.252775317471072,0.5014696798091618,0.13086892433303898,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_01/logistic_regression/test_predictions.csv
per_cancer,os_3yr,BRCA,1,1,random_forest,321,80,100,success,0.1,validation split balanced accuracy,0.35411686099905637,0.07434559499961324,0.39,0.503921568627451,0.24691358024691357,0.6666666666666666,0.3411764705882353,0.5301960784313725,0.3044289414982819,0.566398344548144,0.12788622022222243,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_01/random_forest/test_predictions.csv
per_cancer,os_3yr,BRCA,1,1,catboost,321,80,100,success,0.07142478003337623,validation split balanced accuracy,1.343072111998481,0.005967934001091635,0.47,0.5235294117647059,0.2535211267605634,0.6,0.4470588235294118,0.5431372549019607,0.2845931733860729,0.4457821707728636,0.12769928609559988,/home/prime/Documents/g3/tab-r1/paper/tables/source_data/full_fold_models/per_cancer/os_3yr/BRCA/repeat_01_fold_01/catboost/test_predictions.csv
